crop,market,week_start,modal_price_weighted
tomato,Mansa APMC,2024-08-19,4500.0
tomato,Unnao APMC,2024-08-19,3052.245508982036
tomato,SMY Palampur,2024-08-19,3469.2810457516343
tomato,Nabha APMC,2024-08-19,2253.883495145631
tomato,Mannargudi II(Uzhavar Sandhai ),2024-08-19,2834.285714285714
tomato,Theni(Uzhavar Sandhai ),2024-08-19,1942.3110338835795
tomato,Mannargudi I(Uzhavar Sandhai ),2024-08-19,2828.5271317829456
tomato,Kesinga APMC,2024-08-19,5500.0
tomato,Birbhum APMC,2024-08-19,3328.980891719745
tomato,North Paravur Market,2024-08-19,2983.333333333333
tomato,Khair APMC,2024-08-19,2567.595818815331
tomato,Nadiad APMC,2024-08-19,3569.251336898396
tomato,Azamgarh APMC,2024-08-19,3036.8088811493253
tomato,Ankleshwar APMC,2024-08-19,2413.253012048193
tomato,Manjhanpur APMC,2024-08-19,2867.908163265306
tomato,Chamarajanagar APMC,2024-08-19,694.6428571428571
tomato,Bishalpur APMC,2024-08-19,2976.3768115942025
tomato,SMY Nagrota Bagwan,2024-08-19,3423.076923076923
tomato,Mansa(Manas Veg Yard) APMC,2024-08-19,3352.941176470588
tomato,Khalilabad APMC,2024-08-19,3200.0
tomato,Mannar Market,2024-08-19,4014.705882352941
tomato,Khairagarh APMC,2024-08-19,3050.0
tomato,Vita APMC,2024-08-19,1403.3333333333333
tomato,Vamanapuram Market,2024-08-19,3200.0
tomato,Rampur APMC,2024-08-19,2834.07335907336
tomato,Palayam Market,2024-08-19,1499.5
tomato,Vikasnagar APMC,2024-08-19,1303.3816425120774
tomato,Manjeswaram Market,2024-08-19,1824.5901639344263
tomato,Pimpalgaon Baswant APMC,2024-08-19,1817.830980205524
tomato,Naanpara APMC,2024-08-19,2892.589285714286
tomato,Ramanagara APMC,2024-08-19,1000.0
tomato,Vandiperiyar Market,2024-08-19,3200.0
tomato,Chavakkad Market,2024-08-19,2250.0
tomato,Mysuru APMC,2024-08-19,984.8101265822784
tomato,NGO Colony(Uzhavar Sandhai ),2024-08-19,2805.6277056277054
tomato,Anandnagar APMC,2024-08-19,
tomato,Radaur APMC,2024-08-19,2388.8888888888887
tomato,Ramanathapuram(Uzhavar Sandhai ),2024-08-19,3142.857142857144
tomato,Keelpennathur(Uzhavar Sandhai ),2024-08-19,3437.2881355932204
tomato,PMY Bilaspur,2024-08-19,3665.8536585365855
tomato,Medinipur(West) APMC,2024-08-19,3259.489051094891
tomato,Tauru APMC,2024-08-19,5000.0
tomato,Medavakkam(Uzhavar Sandhai ),2024-08-19,3260.0
tomato,SMY Takoli,2024-08-19,1689.5688456189152
tomato,Ambattur(Uzhavar Sandhai ),2024-08-19,2833.333333333333
tomato,Anchal Market,2024-08-19,4003.448275862069
tomato,Mayiladuthurai(Uzhavar Sandhai ),2024-08-19,2999.9999999999995
tomato,Keonjhar(Dhekikote) APMC,2024-08-19,4250.0
tomato,Maudaha APMC,2024-08-19,2526.470588235294
tomato,Mauranipur APMC,2024-08-19,2786.3291139240505
tomato,Andipatti(Uzhavar Sandhai ),2024-08-19,2000.0
tomato,Badayoun APMC,2024-08-19,3042.374429223744
tomato,Keonjhar APMC,2024-08-19,3833.3333333333335
tomato,Mathura APMC,2024-08-19,2457.860465116279
tomato,Pune APMC,2024-08-19,1748.687246399873
tomato,Chala Market,2024-08-19,2500.0
tomato,Suratgarh APMC,2024-08-19,2400.0
tomato,Ramkrishanpur(Howrah) APMC,2024-08-19,4000.0
tomato,Kendrapara(Marshaghai) APMC,2024-08-19,6200.0
tomato,Budalada APMC,2024-08-19,3508.695652173913
tomato,Kendrapara APMC,2024-08-19,6666.666666666667
tomato,Palani(Uzhavar Sandhai ),2024-08-19,1485.4148082069585
tomato,Nanganallur(Uzhavar Sandhai ),2024-08-19,3430.15873015873
tomato,Nagapattinam(Uzhavar Sandhai ),2024-08-19,2000.0
tomato,Raath APMC,2024-08-19,
tomato,Valangaiman APMC,2024-08-19,2610.638297872341
tomato,Ahilyanagar APMC,2024-08-19,1596.25
tomato,Avallapalli(Uzhavar Sandhai ),2024-08-19,2095.813047711782
tomato,PMY Una,2024-08-19,3915.123456790123
tomato,Viralimalai(Uzhavar Sandhai ),2024-08-19,3000.0
tomato,Nilagiri APMC,2024-08-19,2785.714285714286
tomato,Anwala APMC,2024-08-19,4289.285714285715
tomato,Mainpuri APMC,2024-08-19,2558.4965034965035
tomato,vadakarapathy Market,2024-08-19,1950.0
tomato,Rasda APMC,2024-08-19,3045.628019323672
tomato,Vai APMC,2024-08-19,1913.7096774193549
tomato,Khariar Road APMC,2024-08-19,3935.4838709677424
tomato,Pallavaram(Uzhavar Sandhai ),2024-08-19,2785.714285714286
tomato,Najibabad APMC,2024-08-19,2155.555555555556
tomato,RSPuram(Uzhavar Sandhai ),2024-08-19,1800.0
tomato,Rasipuram(Uzhavar Sandhai ),2024-08-19,2433.5294117647054
tomato,Mahoba APMC,2024-08-19,2616.127819548872
tomato,Khatra APMC,2024-08-19,3956.081081081081
tomato,Mahabubnagar(Rythu Bazar) APMC,2024-08-19,2949.166110740494
tomato,Ahmedabad APMC,2024-08-19,3004.942442442443
tomato,Alipurduar APMC,2024-08-19,3739.130434782609
tomato,Virudhunagar(Uzhavar Sandhai ),2024-08-19,2414.0625000000005
tomato,AJattihalli(Uzhavar Sandhai ),2024-08-19,2175.312343828086
tomato,Malerkotla APMC,2024-08-19,2504.950495049505
tomato,SMY Jaisinghpur,2024-08-19,3635.714285714286
tomato,Mahboob Manison APMC,2024-08-19,1165.0488069414318
tomato,Porbandar APMC,2024-08-19,3748.0735032602256
tomato,Chathanoor Market,2024-08-19,4000.000000000001
tomato,Khatauli APMC,2024-08-19,2200.0
tomato,Quilandy Market,2024-08-19,1783.7837837837835
