state,series,year,month,index_value
Uttar Pradesh,AL,2025,6,135.88
Uttar Pradesh,RL,2025,6,135.93
Uttarakhand,AL,2025,6,128.49
Uttarakhand,RL,2025,6,128.34
West Bengal,AL,2025,6,133.17
West Bengal,RL,2025,6,132.55
All India,AL,2025,7,135.31
All India,RL,2025,7,135.66
Andaman and Nicobar Islands,AL,2025,7,139.04
Andaman and Nicobar Islands,RL,2025,7,139.54
Andhra Pradesh,AL,2025,7,141.33
Andhra Pradesh,RL,2025,7,141.5
Arunachal Pradesh,AL,2025,7,134.61
Arunachal Pradesh,RL,2025,7,135.23
Assam,AL,2025,7,137.51
Assam,RL,2025,7,137.72
Bihar,AL,2025,7,131.57
Bihar,RL,2025,7,131.19
Chhattisgarh,AL,2025,7,130.83
Chhattisgarh,RL,2025,7,131.21
"Daman and Diu, Dadra Nagar and Haveli",AL,2025,7,137.37
"Daman and Diu, Dadra Nagar and Haveli",RL,2025,7,136.15
Delhi,AL,2025,7,0.0
Delhi,RL,2025,7,134.69
Goa,AL,2025,7,126.82
Goa,RL,2025,7,126.66
Gujarat,AL,2025,7,138.31
Gujarat,RL,2025,7,137.96
Haryana,AL,2025,7,143.19
Haryana,RL,2025,7,142.0
Himachal Pradesh,AL,2025,7,134.89
Himachal Pradesh,RL,2025,7,137.09
Jammu and Kashmir,AL,2025,7,144.93
Jammu and Kashmir,RL,2025,7,145.32
Jharkhand,AL,2025,7,132.35
Jharkhand,RL,2025,7,132.72
Karnataka,AL,2025,7,138.88
Karnataka,RL,2025,7,139.54
Kerala,AL,2025,7,139.22
Kerala,RL,2025,7,139.35
Lakshadweep,AL,2025,7,136.49
Lakshadweep,RL,2025,7,135.03
Madhya Pradesh,AL,2025,7,132.82
Madhya Pradesh,RL,2025,7,133.37
Maharashtra,AL,2025,7,132.04
Maharashtra,RL,2025,7,132.37
Manipur,AL,2025,7,144.68
Manipur,RL,2025,7,142.63
Meghalaya,AL,2025,7,136.55
Meghalaya,RL,2025,7,136.85
Mizoram,AL,2025,7,146.5
Mizoram,RL,2025,7,143.8
Nagaland,AL,2025,7,135.06
Nagaland,RL,2025,7,136.59
Odisha,AL,2025,7,131.34
Odisha,RL,2025,7,131.51
Puducherry,AL,2025,7,136.13
Puducherry,RL,2025,7,136.07
Punjab,AL,2025,7,137.08
Punjab,RL,2025,7,136.54
Rajasthan,AL,2025,7,137.15
Rajasthan,RL,2025,7,136.54
Sikkim,AL,2025,7,130.35
Sikkim,RL,2025,7,130.15
Tamil Nadu,AL,2025,7,131.68
Tamil Nadu,RL,2025,7,131.12
Telangana,AL,2025,7,138.72
Telangana,RL,2025,7,138.76
Tripura,AL,2025,7,126.95
Tripura,RL,2025,7,127.63
Uttar Pradesh,AL,2025,7,137.67
Uttar Pradesh,RL,2025,7,137.63
Uttarakhand,AL,2025,7,130.94
Uttarakhand,RL,2025,7,130.13
West Bengal,AL,2025,7,133.73
West Bengal,RL,2025,7,133.01
All India,AL,2025,8,136.34
All India,RL,2025,8,136.6
Andaman and Nicobar Islands,AL,2025,8,137.42
Andaman and Nicobar Islands,RL,2025,8,137.16
Andhra Pradesh,AL,2025,8,141.96
Andhra Pradesh,RL,2025,8,142.12
Arunachal Pradesh,AL,2025,8,135.08
Arunachal Pradesh,RL,2025,8,135.65
Assam,AL,2025,8,138.57
Assam,RL,2025,8,138.73
Bihar,AL,2025,8,133.51
Bihar,RL,2025,8,133.2
Chhattisgarh,AL,2025,8,133.35
Chhattisgarh,RL,2025,8,133.63
"Daman and Diu, Dadra Nagar and Haveli",AL,2025,8,137.68
"Daman and Diu, Dadra Nagar and Haveli",RL,2025,8,136.89
Delhi,AL,2025,8,0.0
Delhi,RL,2025,8,135.63
Goa,AL,2025,8,127.92
Goa,RL,2025,8,127.6
Gujarat,AL,2025,8,137.3
Gujarat,RL,2025,8,137.02
Haryana,AL,2025,8,143.31
