market_id,market,crop,state,district,lat,lon,geocode_level,zone_id,zone_market,zone_state,dist_km
334.0,Pandua APMC,tomato,West Bengal,Hooghly,22.9099402,88.0120825,district,T4_Solan,Solan APMC,Himachal Pradesh,1397.6
335.0,Dhupguri APMC,tomato,West Bengal,Jalpaiguri,26.6262805,88.7334485,district,T4_Solan,Solan APMC,Himachal Pradesh,1227.3
336.0,Samsi APMC,tomato,West Bengal,Malda,25.0057449,88.1398483,district,T4_Solan,Solan APMC,Himachal Pradesh,1264.8
337.0,English Bazar APMC,tomato,West Bengal,Malda,25.0057449,88.1398483,district,T4_Solan,Solan APMC,Himachal Pradesh,1264.8
345.0,Bathubasti Vegetable Market,tomato,Andaman and Nicobar,South Andaman,10.7056905,92.4874679,district,T2_Madanapalle,Madanapalle APMC,Andhra Pradesh,1552.6
361.0,Palamaner APMC,tomato,Andhra Pradesh,Chittor,13.2178147,79.0929361,district,T2_Madanapalle,Madanapalle APMC,Andhra Pradesh,73.8
373.0,Vikarabad APMC,tomato,Telangana,Ranga Reddy,17.1333954,78.3970979,district,T2_Madanapalle,Madanapalle APMC,Andhra Pradesh,398.6
381.0,Howly APMC,tomato,Assam,Barpeta,26.345941,91.039708,district,T4_Solan,Solan APMC,Himachal Pradesh,1449.0
382.0,Dhing APMC,tomato,Assam,Nagaon,26.3313646,92.7524763,district,T4_Solan,Solan APMC,Himachal Pradesh,1606.9
384.0,Tinsukia Market,tomato,Assam,Tinsukia,27.4879722,95.3601855,district,T4_Solan,Solan APMC,Himachal Pradesh,1808.9
385.0,Baharihat APMC,tomato,Assam,Barpeta,26.345941,91.039708,district,T4_Solan,Solan APMC,Himachal Pradesh,1449.0
386.0,Golaghat APMC,tomato,Assam,Golaghat,26.5108262,93.9743686,district,T4_Solan,Solan APMC,Himachal Pradesh,1713.1
387.0,Jorhat APMC,tomato,Assam,Jorhat,26.7577925,94.2079645,district,T4_Solan,Solan APMC,Himachal Pradesh,1725.5
389.0,Danapur APMC,tomato,Bihar,Patna,25.6093239,85.1235252,district,T4_Solan,Solan APMC,Himachal Pradesh,980.1
390.0,Biharsharif APMC,tomato,Bihar,Nalanda,25.1364914,85.4436546,district,T4_Solan,Solan APMC,Himachal Pradesh,1038.3
391.0,Bihta APMC,tomato,Bihar,Patna,25.6093239,85.1235252,district,T4_Solan,Solan APMC,Himachal Pradesh,980.1
393.0,Buxur APMC,tomato,Bihar,Buxar,25.5044834,84.1097525,district,T4_Solan,Solan APMC,Himachal Pradesh,910.7
394.0,Aurangabad APMC,tomato,Bihar,Aurangabad,24.8033201,84.4110198,district,T4_Solan,Solan APMC,Himachal Pradesh,986.6
395.0,Samastipur APMC,tomato,Bihar,Samastipur,25.7747885,85.8672314,district,T4_Solan,Solan APMC,Himachal Pradesh,1028.4
