state,district,district_lat,district_lon,grid_lat,grid_lon,distance_km
Tamil Nadu,Karur,10.8217671,78.3828654,10.875,78.375,5.98
Tamil Nadu,Krishnagiri,12.5152075,78.0093769,12.625,78.125,17.51
Tamil Nadu,Madurai,9.9261153,78.1140983,9.875,78.125,5.81
Tamil Nadu,Nagapattinam,10.6026203,79.7619348,10.625,79.625,15.17
Tamil Nadu,The Nilgiris,11.4,76.7,11.375,76.625,8.64
Tamil Nadu,Perambalur,11.2902641,78.9300404,11.375,78.875,11.17
Tamil Nadu,Pudukkottai,10.2903072,78.8173617,10.375,78.875,11.33
Tamil Nadu,Ramanathapuram,9.5205576,78.5184635,9.625,78.625,16.47
Tamil Nadu,Salem,11.6469616,78.2106958,11.625,78.125,9.65
Tamil Nadu,Sivaganga,9.8486881,78.4870461,9.875,78.375,12.62
Tamil Nadu,Thanjavur,10.659037,79.2014278,10.625,79.125,9.17
Tamil Nadu,Theni,9.8692558,77.4222974,9.875,77.375,5.22
Tamil Nadu,Thirunelveli,12.9363749,80.1310537,13.125,80.125,20.98
Tamil Nadu,Tuticorin,8.8052602,78.1452745,8.875,77.875,30.69
Tamil Nadu,Thiruvannamalai,9.539867,77.6197904,9.625,77.625,9.48
Tamil Nadu,Virudhunagar,9.4926289,77.8631831,9.375,77.875,13.14
Tamil Nadu,Chengalpattu,12.6840886,79.9836371,12.625,79.875,13.49
Tamil Nadu,Kallakuruchi,11.7406259,78.9637131,11.625,78.875,16.08
Tamil Nadu,Ranipet,12.9186243,79.4081921,12.875,79.375,6.04
Tamil Nadu,Tenkasi,9.0933908,77.4758373,9.125,77.375,11.62
Tamil Nadu,Thirupathur,10.59635,79.56857,10.625,79.625,6.94
Tamil Nadu,Thirupur,12.921745,80.1375926,13.125,80.125,22.64
Assam,Darrang,26.4373481,92.0047145,26.375,92.125,13.84
Assam,Nagaon,26.3313646,92.7524763,26.375,92.875,13.14
Assam,Barpeta,26.345941,91.039708,26.375,91.125,9.09
Uttar Pradesh,Kaushambi,25.5342456,81.4493567,25.625,81.375,12.55
Uttar Pradesh,Shravasti,27.5083429,82.0263569,27.625,82.125,16.21
Madhya Pradesh,Guna,24.5001772,77.2600959,24.625,77.375,18.1
Madhya Pradesh,Narsinghpur,22.934556,79.0867849,22.875,79.125,7.69
Madhya Pradesh,Hoshangabad,22.7545538,77.7198249,22.875,77.625,16.55
