crop,market_id,state,horizon_weeks,market_wape_raw,market_n,market_wape_shrunk,state_wape_raw,state_n,state_wape_shrunk,crop_wape_raw
onion,231,Punjab,13,28.8,71,28.4,27.8,3904,27.8,29.5
onion,231,Punjab,26,20.3,58,24.8,29.7,3170,29.8,33.1
onion,232,Punjab,1,21.2,83,19.1,15.8,4646,15.7,14.6
onion,232,Punjab,4,34.4,80,30.4,24.4,4453,24.3,20.9
onion,232,Punjab,13,48.0,71,39.4,27.8,3904,27.8,29.5
onion,232,Punjab,26,58.7,58,45.0,29.7,3170,29.8,33.1
onion,233,Punjab,1,16.6,83,16.3,15.8,4646,15.7,14.6
onion,233,Punjab,4,27.2,80,26.1,24.4,4453,24.3,20.9
onion,233,Punjab,13,44.7,71,37.6,27.8,3904,27.8,29.5
onion,233,Punjab,26,77.7,58,55.0,29.7,3170,29.8,33.1
onion,234,Punjab,1,13.3,60,14.4,15.8,4646,15.7,14.6
onion,234,Punjab,4,22.1,54,23.2,24.4,4453,24.3,20.9
onion,234,Punjab,13,28.3,36,28.0,27.8,3904,27.8,29.5
onion,234,Punjab,26,36.7,26,32.1,29.7,3170,29.8,33.1
onion,235,Punjab,1,18.5,83,17.4,15.8,4646,15.7,14.6
onion,235,Punjab,4,28.5,80,26.9,24.4,4453,24.3,20.9
onion,235,Punjab,13,37.4,71,33.3,27.8,3904,27.8,29.5
onion,235,Punjab,26,55.0,58,43.1,29.7,3170,29.8,33.1
onion,237,Punjab,1,14.5,83,15.0,15.8,4646,15.7,14.6
onion,237,Punjab,4,21.9,80,22.9,24.4,4453,24.3,20.9
onion,237,Punjab,13,23.3,71,25.2,27.8,3904,27.8,29.5
onion,237,Punjab,26,24.7,58,27.1,29.7,3170,29.8,33.1
onion,239,Punjab,1,14.0,83,14.6,15.8,4646,15.7,14.6
onion,239,Punjab,4,21.1,80,22.4,24.4,4453,24.3,20.9
onion,239,Punjab,13,24.7,71,26.0,27.8,3904,27.8,29.5
onion,239,Punjab,26,35.4,58,32.7,29.7,3170,29.8,33.1
onion,240,Punjab,1,14.4,83,14.9,15.8,4646,15.7,14.6
onion,240,Punjab,4,24.6,80,24.5,24.4,4453,24.3,20.9
onion,240,Punjab,13,28.3,71,28.1,27.8,3904,27.8,29.5
onion,240,Punjab,26,41.5,58,36.0,29.7,3170,29.8,33.1
onion,244,Rajasthan,1,21.4,38,17.8,15.1,2067,15.1,14.6
onion,244,Rajasthan,4,29.0,35,26.3,24.7,1974,24.5,20.9
onion,244,Rajasthan,13,38.4,26,50.0,57.3,1708,55.8,29.5
onion,244,Rajasthan,26,42.0,13,71.6,82.4,1357,79.0,33.1
onion,250,Rajasthan,1,15.2,83,15.2,15.1,2067,15.1,14.6
onion,250,Rajasthan,4,21.7,80,22.8,24.7,1974,24.5,20.9
onion,250,Rajasthan,13,48.8,71,51.8,57.3,1708,55.8,29.5
onion,250,Rajasthan,26,68.9,58,73.7,82.4,1357,79.0,33.1
onion,253,Rajasthan,1,22.0,83,19.3,15.1,2067,15.1,14.6
onion,253,Rajasthan,4,35.7,80,31.3,24.7,1974,24.5,20.9
onion,253,Rajasthan,13,82.8,71,71.4,57.3,1708,55.8,29.5
onion,253,Rajasthan,26,129.2,58,105.5,82.4,1357,79.0,33.1
onion,259,Rajasthan,1,17.0,83,16.3,15.1,2067,15.1,14.6
onion,259,Rajasthan,4,20.5,80,22.1,24.7,1974,24.5,20.9
onion,259,Rajasthan,13,38.6,71,45.8,57.3,1708,55.8,29.5
onion,259,Rajasthan,26,54.0,58,65.8,82.4,1357,79.0,33.1
onion,261,Rajasthan,1,14.1,83,14.5,15.1,2067,15.1,14.6
onion,261,Rajasthan,4,23.8,80,24.1,24.7,1974,24.5,20.9
onion,261,Rajasthan,13,56.0,71,55.9,57.3,1708,55.8,29.5
onion,261,Rajasthan,26,85.7,58,82.6,82.4,1357,79.0,33.1
onion,265,Rajasthan,1,16.2,80,15.8,15.1,2067,15.1,14.6
onion,265,Rajasthan,4,29.2,77,27.3,24.7,1974,24.5,20.9
onion,265,Rajasthan,13,75.9,68,67.2,57.3,1708,55.8,29.5
onion,265,Rajasthan,26,102.5,55,91.1,82.4,1357,79.0,33.1
onion,266,Rajasthan,1,16.3,83,15.9,15.1,2067,15.1,14.6
