crop,market_id,state,horizon_weeks,market_wape_raw,market_n,market_wape_shrunk,state_wape_raw,state_n,state_wape_shrunk,crop_wape_raw
onion,173,Madhya Pradesh,13,54.2,112,53.2,51.5,4974,51.0,29.8
onion,173,Madhya Pradesh,26,54.0,87,57.8,64.9,4372,64.2,35.4
onion,179,Madhya Pradesh,1,25.5,165,25.2,24.4,5802,24.2,14.8
onion,179,Madhya Pradesh,4,35.6,156,35.4,35.0,5565,34.8,21.3
onion,179,Madhya Pradesh,13,53.3,134,52.7,51.5,4974,51.0,29.8
onion,179,Madhya Pradesh,26,63.2,108,63.5,64.9,4372,64.2,35.4
onion,182,Madhya Pradesh,1,26.8,242,26.3,24.4,5802,24.2,14.8
onion,182,Madhya Pradesh,4,39.2,239,38.4,35.0,5565,34.8,21.3
onion,182,Madhya Pradesh,13,54.1,230,53.5,51.5,4974,51.0,29.8
onion,182,Madhya Pradesh,26,59.4,217,60.3,64.9,4372,64.2,35.4
onion,184,Chattisgarh,1,18.6,242,18.1,16.1,955,16.0,14.8
onion,184,Chattisgarh,4,28.4,239,27.6,24.1,940,23.8,21.3
onion,184,Chattisgarh,13,44.5,230,42.9,36.8,898,36.1,29.8
onion,184,Chattisgarh,26,45.8,217,44.7,40.4,846,39.8,35.4
onion,186,Madhya Pradesh,1,26.9,139,26.2,24.4,5802,24.2,14.8
onion,186,Madhya Pradesh,4,38.7,136,37.6,35.0,5565,34.8,21.3
onion,186,Madhya Pradesh,13,56.3,127,54.8,51.5,4974,51.0,29.8
onion,186,Madhya Pradesh,26,73.1,114,70.3,64.9,4372,64.2,35.4
onion,199,Odisha,1,15.0,242,14.8,14.0,5267,14.0,14.8
onion,199,Odisha,4,20.6,239,20.4,19.7,5149,19.7,21.3
onion,199,Odisha,13,26.9,230,27.2,28.5,4861,28.6,29.8
onion,199,Odisha,26,28.5,217,29.5,33.5,4535,33.6,35.4
onion,206,Odisha,1,15.2,242,15.0,14.0,5267,14.0,14.8
onion,206,Odisha,4,21.4,239,21.1,19.7,5149,19.7,21.3
onion,206,Odisha,13,34.2,230,33.2,28.5,4861,28.6,29.8
onion,206,Odisha,26,37.3,217,36.6,33.5,4535,33.6,35.4
onion,207,Odisha,1,15.6,179,15.3,14.0,5267,14.0,14.8
onion,207,Odisha,4,22.1,167,21.5,19.7,5149,19.7,21.3
