crop,horizon_weeks,market_id,market,DM_stat,p_value,mean_d,n,better_model,significant_5pct
tomato,13,1809.0,Shahzadpur APMC,-0.6953,0.4876,-31630.946023,230,M6,False
tomato,13,1810.0,Jagadhri APMC,-1.7923,0.0744,-90660.94671,230,M6,False
tomato,13,1811.0,Chhachrauli APMC,-1.392,0.1653,-115226.493802,230,M6,False
tomato,13,1812.0,Mustafabad APMC,-0.353,0.7244,-12566.996692,230,M6,False
tomato,13,1813.0,Sadhaura APMC,-1.1428,0.2543,-62481.839498,230,M6,False
tomato,13,1814.0,Radaur APMC,-0.7802,0.4361,-41190.952007,229,M6,False
tomato,13,1823.0,Farukh Nagar APMC,-1.3288,0.1852,-65429.671442,230,M6,False
tomato,13,1826.0,Punhana APMC,-0.8986,0.3698,-69841.043159,230,M6,False
tomato,13,1827.0,Tauru APMC,-1.1513,0.2508,-105579.161741,230,M6,False
tomato,13,1828.0,Barwala(Hisar) APMC,-1.8982,0.0592,-134068.261044,188,M6,False
tomato,13,1833.0,Jakhal APMC,-1.0574,0.2914,-50526.151837,230,M6,False
tomato,13,1839.0,Dhand APMC,0.1357,0.8922,11888.804999,230,M8,False
tomato,13,1842.0,Siwan APMC,-1.4439,0.1501,-63000.195639,230,M6,False
tomato,13,1844.0,Gharaunda APMC,-1.3647,0.1737,-169125.078719,230,M6,False
tomato,13,1852.0,Madlauda APMC,-1.6277,0.105,-104383.607637,230,M6,False
tomato,13,1853.0,Samalkha APMC,-1.0477,0.2959,-83179.971817,214,M6,False
tomato,13,1860.0,Meham APMC,-1.3115,0.191,-64822.988509,230,M6,False
tomato,13,1861.0,Sampla APMC,-0.1581,0.8745,-11297.060088,228,M6,False
tomato,13,1864.0,Ganaur APMC,0.1869,0.8519,12065.389188,230,M8,False
tomato,13,1868.0,Bowenpally APMC,-0.3086,0.7579,-18125.884814,230,M6,False
tomato,13,1896.0,Navapur APMC,-0.3875,0.6992,-96413.974281,103,M6,False
tomato,13,1902.0,Vita APMC,-2.3029,0.0225,-97111.567856,169,M6,True
tomato,13,1903.0,Palus APMC,-0.1117,0.9111,-4274.788515,230,M6,False
tomato,13,1939.0,Ramtek APMC,-1.226,0.2215,-246852.736307,230,M6,False
tomato,13,1967.0,Karvi APMC,-1.9962,0.0471,-34808.576905,230,M6,True
tomato,13,1973.0,Kuruppanthura Market,1.2872,0.1993,361560.416156,225,M8,False
tomato,13,1974.0,Chelakkara Market,-0.519,0.6042,-60069.223962,230,M6,False
tomato,13,1975.0,Munnar Market,1.5082,0.1329,391173.87827,230,M8,False
tomato,13,1977.0,Kottakkal Market,-1.4709,0.1427,-203378.727922,230,M6,False
tomato,13,1978.0,Angamaly Market,0.9516,0.3423,318133.498852,230,M8,False
tomato,13,1979.0,Kallachi Market,-1.1374,0.2566,-124203.984202,230,M6,False
tomato,13,1980.0,Taliparamba Market,-1.3118,0.1922,-141097.808761,118,M6,False
tomato,13,1986.0,Madhavapuram Market,0.4871,0.6267,95450.271912,192,M8,False
tomato,13,1987.0,Mulakalacheruvu APMC,0.9676,0.335,53503.445855,135,M8,False
tomato,13,2006.0,Sasthamkotta Market,1.493,0.1368,1219057.46747,230,M8,False
tomato,13,2007.0,Piravam Market,1.0864,0.2784,204061.190227,230,M8,False
tomato,13,2008.0,Aralamoodu Market,0.9529,0.3416,247086.228764,230,M8,False
tomato,13,2011.0,Neyyatinkara Market,1.0489,0.2954,357939.753319,208,M8,False
